Question,Trait,Reverse?,Score
Is talkative,Extraversion,N,
Tends to find fault with others,Agreeableness,Y,
Does a thorough job,Conscientiousness,N,
"Is depressed, blue",Neuroticism,N,
"Is original, comes up with new ideas",Openness,N,
Is reserved,Extraversion,Y,
Is helpful and unselfish with others,Agreeableness,N,
Can be somewhat careless,Conscientiousness,Y,
"Is relaxed, handles stress well",Neuroticism,Y,
Is curious about many different things,Openness,N,
Is full of energy,Extraversion,N,
Starts quarrels with others,Agreeableness,Y,
Is a reliable worker,Conscientiousness,N,
Can be tense,Neuroticism,N,
"Is ingenious, a deep thinker",Openness,N,
Generates a lot of enthusiasm,Extraversion,N,
Has a forgiving nature,Agreeableness,N,
Tends to be disorganized,Conscientiousness,Y,
Worries a lot,Neuroticism,N,
Has an active imagination,Openness,N,
Tends to be quiet,Extraversion,Y,
Is generally trusting,Agreeableness,N,
Tends to be lazy,Conscientiousness,Y,
"Is emotionally stable, not easily upset",Neuroticism,Y,
Is inventive,Openness,N,
Has an assertive personality,Extraversion,N,
Can be cold and aloof,Agreeableness,Y,
Perseveres until the task is finished,Conscientiousness,N,
Can be moody,Neuroticism,N,
"Values artistic, aesthetic experiences",Openness,N,
"Is sometimes shy, inhibited",Extraversion,Y,
Is considerate and kind to almost everyone,Agreeableness,N,
Does things efficiently,Conscientiousness,N,
Remains calm in tense situations,Neuroticism,Y,
Prefers work that is routine,Openness,Y,
"Is outgoing, sociable",Extraversion,N,
Is sometimes rude to others,Agreeableness,Y,
Makes plans and follows through with them,Conscientiousness,N,
Gets nervous easily,Neuroticism,N,
"Likes to reflect, play with ideas",Openness,N,
Has few artistic interests,Openness,Y,
Likes to cooperate with others,Agreeableness,N,
Is easily distracted,Conscientiousness,Y,
"Is sophisticated in art, music, or literature",Openness,N,
